,title,keywords
0,百度“AI to B”志在长远，智能云“产业智能化”行在当下,"['志在', '行在', '产业', '百度', '智能', 'ai', 'ldquo', 'rdquo']"
1,8K时代来了，三星如何拿下技术王牌标签？,"['8k', '三星', '技术', '电视', '4k', 'ldquo', 'rdquo', '产品']"
2,区块链在银行金融业的探索——现状研究,"['区块', '银行', '金融业', 'blockcha', 'no', 'bank', 'op', 'ancial']"
3,title-1560825710,['title']
4,“一般数据保护条例”对数据分析及挖掘的影响,"['数据保护', '数据分析', 'gd', '数据', '欧盟', 'pr', '隐私', 'nbsp']"
5,硅谷AI商业化大会专题讨论：自动驾驶与智能交通的未来,"['交通', '硅谷', '专题讨论', '商业化', '智能', 'ai', '汽车', 'louay']"
6,奇点云行业观察 | 购物中心如何实现高质量数据采集？,"['高质量数据', '奇点', '实现', '数据', '消费者', '入会', '业态', '线下']"
7,达观数据：Angular 6+依赖注入使用指南：providedIn与providers对比,"['providers', 'provided', 'angular', '使用指南', 'in', '数据', '加载', 'root']"
8,title-1558413361,"['title', '苏宁', '易购', '消费者', '智慧零售', '小店']"
9,title-1560592865,['title']
10,智能对话爆发，但要做引擎的百度大脑已经提前赢下这场AI竞赛,"['这场', '竞赛', '百度', '智能', 'ai', 'ldquo', 'rdquo', '平台']"
11,拿下消金牌照，结盟光大银行，度小满跨越“J型曲线”拐点,"['度小满', '光大银行', '拐点', 'ldquo', 'rdquo', '金融', '金融科技', '风控']"
12,达观数据：数据不够？GAN来凑！,"['数据', 'gan', '生成器', '卷积', '向量', 'dc', '法使', '梯度']"
13,车载OS“福特事件”：百度阿里的暗战,"['os', '车载', '福特', '暗战', '阿里', '百度', 'alios', '小度']"
14,百度“小灵”：矗立在AI百年历史关口的AI虚拟主持人,"['小灵', 'ai', '百度', 'ldquo', 'rdquo', '五四', '技术', '工业革命']"
15,title-1560390852,['title']
16,title-1560390869,['title']
17,深度分析拼多多的首场618战事：“猫拼狗“的快打旋风,"['拼狗', '快打旋风', '深度', 'ldquo', 'rdquo', '消费者', '电商']"
18,两大业务“一降一升”让苹果有望重归万亿市值,"['苹果', '万亿', '市值', '一降', '重归', '一升', 'ldquo', 'rdquo']"
19,2018WAIC“高光”时刻系列回顾: 人工智能需要“全世界联合起来”,"['全世界联合起来', 'waic', '人工智能', 'ai', '腾讯', 'ldquo', 'rdquo']"
20,2018WAIC“高光”时刻系列回顾: 人工智能需要“全世界联合起来”,"['全世界联合起来', 'waic', '人工智能', 'ai', '腾讯', 'ldquo', 'rdquo']"
21,使用Python+opencv进行图像处理（一） | 视觉入门,"['图像处理', 'encv', '入门', 'op', '视觉', 'python', 'draw', 'img']"
22,数据中台元年，企业数字化转型面临的三大挑战,"['数字化转型', '数据中台', '三大', '企业', '数据', '门店', '数据模型', '业务部门']"
23,全球「最快」网络芯片将被英特尔收购，曾获阿里腾讯投资,"['收购', '英特尔', '投资', '阿里', '芯片', '腾讯', 'barefoot', '博通']"
24,旷视完成7.5亿美元D轮融资，估值40亿美元,"['旷视', '估值', '融资', '中银', '投资者']"
25,旷视完成7.5亿美元D轮融资，估值40亿美元,"['旷视', '估值', '融资', '中银', '投资者']"
26,国产32.8万元起，特斯拉是来诚心卖车还是来恶意收割？,"['特斯拉', '卖车', '电动车', '车厂', '产能', '万辆']"
27,瑞幸咖啡，不过是又一个“逃离美团者”,"['瑞幸', '美团者', '美团', 'ldquo', 'rdquo', '门店', '星巴克', '合作伙伴']"
28,一文读懂文本处理中的对抗训练,"['文本处理', '读懂', '对抗攻击', 'nbsp', '攻击', '模型', 'adversarial', '向量']"
29,TensorLayer 2.0：保有最多官方神经网络层的通用Python库,"['layer', 'tensor', '网络层', 'python', '董豪', '开源', '深度学习']"
30,title-1559790654,['title']
31,数据中台技术汇(一) | DataSimba——企业级一站式大数据智能服务平台,"['datasimba', '一站式', '企业级', '服务平台', '数据中台', '大数据', '智能', '技术']"
32,优酷logo变更与视频平台们的“她经济”算盘,"['优酷', 'logo', '视频', '平台', '女性', 'rdquo', 'ldquo', '爱奇艺']"
33,阿里云“被集成”下，玖富数科的数字普惠金融“新范式”计划 ,"['富数科', '普惠', '金融', '范式', '阿里', 'ldquo', 'rdquo', '富云']"
34,AI时代不要再被操作系统卡脖子，支持国货飞桨，掌握技术主动权！,"['操作系统', '飞桨', '技术', 'ai', 'ldquo', 'rdquo', '框架', '深度学习']"
35,独有高端市场用户，行业领先的聚好看如何为OTT营销正名？,"['ott', '广告', 'ldquo', 'rdquo', '广告主', '电视', '大屏', '终端']"
36,"北冥星眸联手福建人保财险,AI服务体系赋能保险业","['财险', '北冥星眸', '保险业', '服务体系', '赋能', '福建人', 'ai', '福建省']"
37,中国第一、全球前三！那个用最短时间登顶的小度你了解吗？,"['小度', '短时间', '智能', 'ldquo', 'rdquo', '硬件', '百度', '电视']"
38,初创公司激战无人物流，在谈诗和远方之前先“填饱肚子”,"['物流', '填饱', '商用车', '希迪智驾', 'ldquo', 'rdquo', '卡车', '乘用车']"
39,接棒Oracle的“准遗产”，华为云的云数据库靠谱吗？,"['oracle', '接棒', '数据库', '华为', 'ldquo', 'rdquo', '企业', 'mysql']"
40,短期盈利无望，Uber到底值多少钱？,"['uber', '多少钱', '租车', '卡兰', '尼克', '出租车', '滴滴']"
41,汉得信息之后再牵东软控股，百度智能云内外“兼修”,"['东软', '汉得', '兼修', '百度', '智能', 'ldquo', 'rdquo', '产业']"
42,用户不再为“新机”买单，衰退期入场的字节跳动怎么还敢进?,"['新机', '衰退期', '还敢', '智能手机', '互联网', '换机', 'ldquo', 'rdquo']"
43,title-1558412339,"['title', 'ind', '模组', 'em']"
44,百分点与常州政府签署战略合作协议,"['州政府', '常州', '常州市', '大数据', '政府', '市长', '丁纯', '战略合作框架协议']"
45,为什么说爱奇艺是一家技术公司?,"['爱奇艺', '技术', '广告', 'vr', 'ai', '视频', '主播', '后期制作']"
46,爱奇艺iOS真机远程APP测试技术实践,"['app', 'ios', '真机', '测试', '爱奇艺', '技术', 'ui', 'wda']"
47,人工智能时代如何高效发掘数据库的价值？NL2SQL研究需要关注,"['nl2sql', '数据库', '人工智能', 'sql', '数据', '查询', 'wikisql', '自然语言']"
48,造车新势力也下场了，滴滴巨亏390亿也拦不住车企布局出行的步伐,"['车企', '巨亏', '造车', '拦不住', '滴滴', '戴姆勒', 'ldquo']"
49,title-1559117429,['title']
50,title-1559117433,['title']
51,什么是服装零售企业的数字化升级,"['企业', '数据', '消费者', '门店', 'bi', '数据中台', '智能', '技术']"
52,从海马“卖房保壳”看自主品牌的生存焦虑,"['卖房', '保壳', 'ldquo', 'rdquo', 'suv', '万台', '政策', '汽车']"
53,抢跑AT拿到消费金融牌照后，度小满能否走过“J型曲线”拐点？,"['度小满', '走过', '抢跑', 'at', '拿到', '拐点', '金融', 'ldquo']"
54,title-1559023303,['title']
55,title-1559023366,['title']
56,8K乱战，一触即发,"['8k', '乱战', '电视', '4k', '三星', '产品', 'ldquo', 'rdquo']"
57,title-1557396127,['title']
58,响铃：BAT生态“大槐树”初长成，小程序如何为生态开枝散叶？ ,"['小程序', '大槐树', '响铃', '初长成', '散叶', '开枝', 'bat', 'ldquo']"
59,PyTorch代码调试利器: 自动print每行代码的Tensor信息,"['代码', '每行', 'pr', 'tensor', 'int', 'pytorch', 'var', 'torchs']"
60,英伟达深度学习推理引擎TensorRT，现在开源了,"['tensorrt', '推理', '伟达', '深度学习', '开源', '插件', '解析器', 'caffe']"
61,谁说偷窥一定要趴墙头？这个系统可用声波「看见」墙后物体,"['可用', '偷窥', '墙后', '系统', '隐藏物体', 'nlos', '共焦', '声学']"
62,英伟达宣布全面支持ARM高性能计算，三周打造全球排名第22超算,"['超算', '三周', '全球排名', '高性能', '伟达', 'ar', 'dgx']"
63,看一眼就知手感，北大学神联手朱俊彦让机器人「想象」触感,"['朱俊彦', '触感', '机器人', '视觉', '模型', '感知', '解码器', '李昀烛']"
64,极端类别不平衡数据下的分类问题研究综述,"['分类', '综述', '数据', '少数类', '分类器', 'imbalanced', 'smote', 'balancecascade']"
65,应对金融大数据挑战 从个体到群体风险预测：氪信技术干货全析,"['全析', '干货', '金融', '大数据', '预测', '技术', 'ks', '数据']"
66,如何用NLP与知识图谱支援MarTech建设？,"['martech', '图谱', 'nlp', '销售', '姚从磊', '获客', 'sales', '数据']"
67,任正非对话美国思想巨头：短期预计营收下降300亿美元，但2021年华为将重焕生机,"['思想', '重焕', '任正非', '营收', '美国']"
68,科创引领智能新时代，2019全球新经济年会在沪召开,"['科创', '引领', '智能', '亿欧', '企业', '长宁', '科创板']"
69,BERT时代与后时代的NLP（一）,"['bert', 'nlp', '模型', '数据', '多任务', '工作', '精调', '语言']"
70,Pytorch网络结构可视化,"['网络结构', '可视化', 'pytorch', 'supported', 'out', 'dr', 'op', 'no']"
71,CNN网络结构的发展：从LeNet到EfficientNet,"['lenet', 'efficientnet', '网络结构', 'cnn', '卷积', 'times', 'nbsp', 'ception']"
72,5G浪潮下，AI将会发生怎样的变化,"['将会', '5g', '浪潮', 'ai', '视频', 'bull', '视频流', '4g']"
73,对新手友好的 PyTorch 深度概率推断工具 Brancher，掌握 ML 和 Python 基础即可上手,"['brancher', 'ml', 'pytorch', '深度', 'python', 'quot', 'nu', 'mu']"
74,PyTorch代码调试利器TorchSnooper: 自动print每一行代码的Tensor的信息,"['代码', 'torchs', 'er', 'no', 'pr', 'tensor', 'op', 'int']"
75,征集令 | 2019 世界人工智能大会·黑客马拉松赛题征集中，共推 AI 高质量发展,"['高质量', '黑客', '马拉松赛', '共推', '人工智能', 'ai', '赛题']"
76,神秘的Waymo一反常态，CVPR现场发布大型自动驾驶数据集,"['waymo', '神秘', 'cvpr', '数据', 'kitti', '激光雷达', 'nuscenes', '万帧']"
77,与华为合作不能断：芯片大厂高通、英特尔向美国政府施压,"['美国政府', '大厂', '高通', '英特尔', '华为', '芯片', '美国商务部', '销售']"
78,图灵奖得主Yoshua Bengio谈5G、中美争端以及「错误的」ICML最佳论文,"['yoshua', 'bengio', '图灵奖', '5g', 'icml', '论文', 'mila', '滴滴']"
79,结合强化学习，腾讯数据库最新研究入选顶级会议SIGMOD,"['sigmod', '数据库', '会议', '最新', '腾讯', 'cdbtune', '存储技术', '数据库系统']"
80,猫主子总往家里带老鼠？那就用深度学习打造一个「猫门」吧,"['猫门', '总往', '深度学习', 'ben', 'hellip', 'hamm', '嘴里', '猫咪']"
81,芯片技术被「卡脖子」？这是中国对抗封锁最有效的「武器」,"['中国', '芯片', '技术', 'risc', '芯启', '指令集', 'ar', 'ip']"
82,谷歌发布NLP最先进预训练模型：开源BERT,"['bert', 'nlp', '谷歌', '开源', '模型', 'ldquo', 'tpu', 'rdquo']"
83,注意力机制可解释吗？这篇ACL 2019论文说……,"['这篇', 'acl', '论文', '权重', 'lowast', 'js', '模型']"
84,系统探讨「跨语言词嵌入」，这是一本刚出炉新书,"['跨语言词嵌入', '系统', '对齐', '可比较数据', '平行数据', '词级', '本书', '分类']"
85,基于视觉控制，40美元玩转无传感器机械臂（已开源）,"['玩转', '传感器', '视觉', '开源', '关键点', '二维', '数据']"
86,以四小龙为首的CV企业占比七成，安防AI化已成产业趋势 | 附报告下载,"['安防', '四小龙', 'cv', '已成', '七成', '企业', '报告', '产业']"
87,AI「照妖镜」：不仅知道你P过图，还知道你P图前长啥样,"['图前', '过图', 'ai', '流场', 'ps', 'do', '原图', 'photosh']"
88,ICML亮点论文：随机优化算法的证明以及在架构搜索上的应用,"['优化', 'icml', '算法', '应用', '论文', 'adagrad', 'norm', '收敛']"
89,当Git和Git-LFS无法解决机器学习复现问题时，是时候祭出DVC了,"['git', 'dvc', 'lfs', '祭出', '复现', 'scm', '数据文件', '数据']"
90,死亡启示录：AI在Dota 2中预测玩家5秒后死亡,"['dota', '玩家', '预测', 'ai', '游戏', '研究者', 'death']"
91,滴滴与Yoshua Bengio领导的Mila达成深度合作，推进智能驾驶基础研究,"['滴滴', 'mila', 'yoshua', 'bengio', '深度', '智能', 'ai', '蒙特利尔']"
92,高德地图联合阿里云推出智慧高速解决方案 计划未来一年覆盖十省市高速路网,"['高德', '省市', '地图', '解决方案', '阿里', '交通', '标配', '城市']"
93,​潜行七年的「鸿蒙」或十月出货，华为如何再造「安卓生态」？,"['鸿蒙', '安卓生态', '十月', '华为', '操作系统', '安卓', '系统', 'fr']"
94,WAIC·黑客马拉松赛题征集令：千人规模共推AI高质量发展,"['千人', '高质量', '黑客', '马拉松赛', '共推', 'waic', 'ai', '赛题']"
95,「AI间谍」扰乱美国政坛，众议院提出法案打击Deepfake换脸技术,"['ai间谍', 'fake', '换脸', '美国', 'deep', '技术', '提出', 'deepfakes']"
96,Jurgen Schmidhuber新论文：我的就是我的，你的GAN还是我的,"['schmidhuber', 'jurgen', 'gan', '论文', 'pm', 'ac', '极小']"
97,CVPR 2019提前看：少样本学习专题,"['cvpr', 'shot', 'laso', 'few', '节点', 'eg', 'zero']"
98,Keras官方出调参工具了，然而Francois说先别急着用,"['出调', '别急', 'francois', 'keras', 'tuner', 'val', 'model']"
99,如何可视化BERT？你需要先理解神经网络的语言、树和几何性质,"['语言', '可视化', 'bert', '神经网络', '毕达哥拉斯', '节点', '欧几里德', 'hewitt']"
100,阿里最新研究成果发布：AI进化到助理法官水平，可一秒自主「判案」,"['研究成果', '阿里', '最新', 'ai', 'sigir', '纠纷案', '法律', '关联性']"
101,墨云科技完成嘉御基金领投的A＋轮数千万人民币融资，蓝驰创投、联想之星继续跟投,"['墨云', '联想', '嘉御', '创投', '之星', '数千万', '蓝驰', '领投']"
102,地平线黄畅演讲：边缘 AI 计算发展趋势,"['地平线', '黄畅', '发展趋势', '演讲', 'ai', '算力', '数据中心', '实时性']"
103,数十万商品短视频排队盖戳  阿里推“视频指纹”技术保护商家,"['视频', '盖戳', '数十万', '阿里', '技术', 'ldquo', 'rdquo', '森女']"
104,CVPR 2019 | 腾讯AI Lab联合清华大学提出基于骨骼姿态估计的人体实例分割,"['lab', '清华大学', 'cvpr', '腾讯', '提出', 'ai', 'align']"
105,ICLR 2019论文解读：量化神经网络,"['量化', 'iclr', '神经网络', '论文', 'ste', 'sigma', '梯度']"
106,比宣传更夸张，秒杀18核i9！AMD新旗舰Ryzen 9跑分出炉,"['i9', '新旗舰', '跑分', 'amd', 'ryzen', '秒杀', 'zen']"
107,ACL 2019 接收论文榜单发布，我们做了可视化分析,"['榜单', 'acl', '可视化', '论文', '列表', 'student']"
108,真正的神经网络，敢于不学习权重,"['权重', '神经网络', 'wa', 'nn', '网络拓扑', '研究者', '拓扑', 'rollout']"
109,前谷歌员工解锁智能音箱新玩法：客房里的注意力商人,"['解锁', '前谷', '玩法', '智能', '机器之心', 'ota', '小犀', '犀动']"
110,是AI选了吴亦凡去当《中国有嘻哈》评委，我有什么办法,"['吴亦凡', '中国有嘻哈', '选了', 'ai', '选角', '爱奇艺', '孙斌', '选出']"
111,腾讯量子实验室发起 Alchemy 竞赛，推动分子性质的 AI 预测研发,"['alchemy', '量子', '竞赛', '预测', '腾讯', 'ai', '数据库', '化学']"
112,AR改变传统地理知识学习方式，而这只是AR应用场景的其中一个,"['ar', '改变传统', '地理知识', '应用', 'core', '胡罗舶', '京东', '线下']"
113,"坐上无人车在黑夜的中国高速上""飞驰""，竟然是这番感觉！| 独家","['感觉', '这番', '中国', '匝道', '车厂', '特斯拉', '前装', '纽劢']"
114,拥有解耦表征的无监督学习是不可能的！硬核ICML 2019最佳论文出炉,"['硬核', 'icml', '论文', 'df', 'arxivorg', 'disentangled', 'https']"
115,如何光明正大地学习KISS？当然是用这个DL接吻检测器了,"['检测器', 'kiss', 'dl', '电影', '视频', '二元', 'resnet', 'vggish']"
116,准备程序员面试？你需要了解这 14 种编程面试模式,"['面试', '程序员', '编程', '数组', '链表', 'heap', '节点']"
117,如何动手设计和构建推荐系统？看这里,"['推荐系统', '电影', '矩阵', 'movie1', 'movie2', '余弦', '单元格', 'py']"
118,自动探索特征组合，第四范式提出新方法AutoCross,"['autocross', '第四', '范式', '提出', '模型', 'ac', 'fm', '高阶']"
119,浅谈话题模型：LSA、PLSA、LDA,"['plsa', 'lda', 'lsa', '模型', 'lsquo', 'rsquo', '矩阵', '先验']"
120,爱奇艺短视频分类技术解析,"['视频分类', '爱奇艺', '技术', '模型', '分类', '视频', 'nbsp', '建模']"
121,NAACL 2019最佳论文：量子概率驱动的神经网络,"['量子', 'naacl', '神经网络', '论文', '向量', 'quot', '矩阵']"
122,CVPR 2019 | 旷视提出极轻量级年龄估计模型C3AE,"['c3ae', '旷视', 'cvpr', '模型', '提出', '卷积', '级联']"
123,人脸照片秒变艺术肖像画：清华大学提出APDrawingGAN CVPR 2019 oral paper,"['apdraw', '艺术', 'paper', '人脸', 'oral', 'gan', '清华大学', 'cvpr']"
124,有效距离1600米！智加科技发布全球领先的多目视觉立体感知技术,"['智加', '多目', '视觉', '科技', '技术', '感知']"
125,斯坦福教授自创编程语言造出全球「最快」网络芯片，如今要被英特尔收购,"['编程语言', '斯坦福', '造出', '收购', '英特尔', '芯片', 'barefoot', 'fr']"
126,首次亮相「芯端云」战略，华米下一代AI芯片在路上,"['华米', '芯端云', '芯片', 'ai', '黄汪', '黄山1号', '米动', '医疗']"
127,只要戴上这副眼镜，你也可以去歌神演唱会抓逃犯了,"['戴上', '歌神', '面部', 'tc', 'nn', 'vuzix', '这项', 'ifalcon']"
128,157亿美元，Salesforce全股票收购数据分析平台Tableau,"['salesforce', 'tableau', '数据分析', '收购', '平台', 'crm']"
129,一个Java方法能有多少个参数类型？这个好奇coder做了个实验,"['java', '参数', 'coder', 'fwrite', 'gt', '编译器', 'type', 'jvm']"
130,SIGGRAPH | 2D人体动作迁移与特征分解（附论文及代码链接）,"['2d', 'siggraph', '代码', '论文', '3d', 'retarget', 'clon', 'mixamo']"
131,售价5200元，性能远超i9：AMD发布16核7纳米Ryzen处理器,"['amd', '远超', '处理器', 'ryzen', 'i9', 'zen']"
132,剑指TensorFlow，PyTorch Hub官方模型库一行代码复现主流模型,"['hub', '模型库', '复现', 'pytorch', 'tensorflow', '模型', '代码', 'py']"
133,中国黑科技亮相俄罗斯，助力两国建交70周年,"['黑科技', '助力', '搜狗', '主播', 'ai', '塔斯社', 'ldquo']"
134,神经网络的可解释性，从经验主义到数学建模（一篇icml）,"['数学', '解释性', 'icml', '建模', '神经网络', '信息量', '评测', 'bert']"
135,2018WAIC「高光」时刻系列回顾: 人工智能需要「全世界联合起来」,"['全世界联合起来', 'waic', '人工智能', 'ai', '腾讯', 'ldquo', 'rdquo']"
136,“2019 上海智慧城市进万家”系列宣传活动首站在宝山启动,"['进万家', '智慧城市', '首站', '活动', '宝山区', '人工智能', 'ai']"
137,达观数据：Selenium使用技巧与机器人流程自动化实战,"['seleni', '自动化', 'um', '机器人', '数据', 'browser', 'param', 'name']"
138,NAACL 2019论文独特视角|纠正归因谬误：注意力没有解释模型,"['归因', 'naacl', '论文', '模型', 'attention', '相关性', '重要性']"
139,强烈推荐 | 飞桨最全面的工具组件详解,"['强烈推荐', '飞桨', 'paddlepaddle', '模型', 'autodl', 'visualdl', 'paddlehub', 'x2paddle']"
140,构建端到端数据科学项目，从我的Data Scientist Ideal Profiles项目中学习（附链接）,"['ideal', 'data', 'profiles', 'scientist', '数据科学', '端到端', 'matplotlib', 'py']"
141,Nullmax发布乘用车前装方案 自动驾驶商用更近一步,"['nullmax', '前装', '乘用车', '更近', 'max', '量产', '大规模', '徐雷']"
142,在现实世界遇见「擎天柱」，探访国内首家变形机器人公司,"['首家', '机器人', '乐森', '舵机', '乐森机器人', '陈小森', '星际特工t9', '芯片']"
143,无人驾驶需要怎样的传感器？,"['无人驾驶', '传感器', 'yole', 'pement', '车载', 'vel', '汽车']"
144,GLUE基准新突破：微软多任务模型首次超越自然语言人类基准,"['基准', 'glue', '任务模型', '自然语言', '微软', 'mt', 'nn', 'wnli']"
145,技术与伦理的博弈，医疗AI的B面隐忧如何解？,"['博弈', '伦理', '医疗', '技术', 'ai', '隐私', '人工智能', '偏见']"
146,Bert时代的创新：Bert在NLP各领域的应用进展,"['bert', 'nlp', '应用', 'qa', '摘要', 'transformer', '长文', '分类']"
147,文本也有攻防战：清华大学开源对抗样本必读论文列表,"['必读', '攻防战', '列表', '清华大学', '开源', '论文', 'adversarial', 'hlt']"
148,禁止与华为讨论技术标准？高通、英特尔3GPP上限制员工交流,"['技术标准', '3gpp', '高通', '英特尔', '华为', '5g', '美国', '非正式']"
149,"苹果要收购自动驾驶公司Drive.ai? 不,他们只想要""技术工程化""人才","['driveai', '工程化', '想要', '人才', '苹果', '收购', '技术', 'nbsp']"
150,对话创新工场陶宁：AI步入深水区下的投资逻辑,"['陶宁', '逻辑', '区下', '深水', '投资', 'ai', '大湾', '技术']"
151,SIGGRAPH | 多机器人协同三维场景重建,"['siggraph', '机器人', '最优', '主动式', '三维重建', '映射', '陈宝权', '近几年']"
152,IJCAI 2019 融合角色信息的多样性对话生成,"['多样性', 'ijcai', 'persona', 'nbsp', '记忆', '变分', '词表']"
153,基于TensorFlow Lite的移动端AR解决方案 SmileAR,"['ar', 'smile', 'lite', '解决方案', 'tensorflow', '关键点', '爱奇艺', '人脸']"
154,用算法可以买房，找女朋友，还能找幼儿园！,"['买房', '算法', '应聘者', 'ldquo', 'rdquo', '找对象', '开普勒']"
155,AI生成的假新闻难以识别，那就用神经网络来对抗吧,"['假新闻', '神经网络', 'ai', 'grover', 'mega', '生成器', '模型', '方差']"
156,构建AI前的数据准备，SQL要比Python强,"['sql', 'python', '数据', 'ai', 'json', 'timestamp', 'user', 'ce']"
157,如何构建一个硅脑？首先要有一块神经形态芯片,"['神经形态', '硅脑', '芯片', '神经元', '模拟', '突触', '人脑', 'modha']"
158,新手如何发布第一个Python项目开源包？这里有一份详细指南,"['第一个', 'python', '开源', 'scitime', 'py', 'setup', 'toubiana']"
159,终版API已定型，TensorFlow 2.0 Beta蜕变归来,"['beta', '终版', 'api', 'tensorflow', 'keras', 'test_images']"
160,深度学习模型大合集：GitHub趋势榜第一，两天斩获2000星,"['两天', '合集', 'github', '趋势', '深度学习', '模型', 'pytorch']"
161,拒绝重复造轮子！GitHub推出新功能repository templates,"['repository', 'templates', 'github', 'template', 'repo', 'utm', 'generate']"
162,机器人见多了，你见过机器船吗？MIT新版ROBOAT可以自动组装,"['roboat', '新版', 'mit', '机器人', '锁闭', '水上', 'apriltag', 'mateos']"
163,1+1＞2：MIT&IBM提出结合符号主义和连接主义的高效、准确新模型,"['ibm', 'mit', '提出', '模型', 'cl', 'ns', '视觉', '概念学习']"
164,2019高考编程卷：谷歌面试编程题及解题技巧（MIT版）,"['编程', '题及', '解题技巧', '面试', 'mit', '谷歌', '节点']"
165,Python并不完美，Swift正在成长为深度学习语言,"['sw', '语言', 'python', '深度学习', 'tensorflow', 'mlir', 's4tf', '编译器']"
166,这就是波士顿动力第一款商用产品「机器狗」Spot,"['spot', '波士顿', '动力', '机器狗', '第一款', '产品', '机器人', 'raibert']"
167,大幅减少训练迭代次数，提高泛化能力：IBM提出「新版Dropout」,"['泛化', '新版dropout', '迭代', 'ibm', '提出', 'dropout', 'sample', 'multi']"
168,手工计算神经网络第三期：数据读取与完成训练,"['读取', '第三期', '数据', '神经网络', 'grad', 'parameters', 'img']"
169,飞桨带你了解：基于百科类数据训练的 ELMo 中文预训练模型,"['elmo', '百科', '中文', '飞桨', '数据', '模型', 'ernie', 'embedding']"
170,吹响集结的号角：O'Reilly和Intel人工智能大会北京站在召唤！,"['reilly', '北京站', '吹响', 'tel', 'in', '人工智能', 'nbsp', 'ai']"
171,极链科技两次夺冠Google AI地标识别大赛，推动国内识别检索技术再进阶,"['地标', '极链', 'google', '两次', '进阶', '科技', '技术', 'ai']"
172,有趣！这是一篇玩倩女幽魂的多智能体强化学习研究,"['倩女幽魂', '智能体', 'mahhqn', 'mapqn', 'deep', 'hfo', '游戏', 'dqn']"
173,AMD停止授权中国x86新技术，「芯片国产化」路子怎么走？,"['x86', '芯片国产化', 'amd', '中国', '技术', 'risc', '海光', '指令集']"
174,关于大片人物特效少不了的人体姿态估计，这里有一份综述文章,"['人物', '综述', '自顶向下', '图源', '自底向上', 'openpose', '关键点', 'df']"
175,手机摇一摇测体积，2019菜鸟全球科技挑战赛助力智能物流,"['菜鸟', '挑战赛', '物流', '摇一摇测', '助力', '科技', '智能']"
176,深度学习来得太晚也太猛，对话2018年度图灵奖三位「大佬」,"['太晚', '三位', '来得', '太猛', '大佬', '图灵奖', '深度学习']"
177,燧原科技获新一轮融资3亿，加速产品落地进程,"['燧原', '新一轮', '产品', '落地', '融资', '科技', '云和', '芯片']"
178,刚刚，工信部颁发了国内首批5G商用牌照，华为：全力支持建好中国5G,"['5g', '工信部', '全力支持', '建好', '华为', '运营商', '组网', '英国']"
179,智能家居打响C端战役，如何让4.5亿家庭为智能买单？,"['智能家居', '智能', 'ldquo', 'rdquo', '服务化', '恐惧', '全屋智能']"
180,2018 WAIC「高光」时刻系列回顾：开篇,"['waic', '人工智能', 'ai', '参会', '赋能', '多位', '多人']"
181,超越BigGAN，DeepMind提出「史上最强非GAN生成器」VQ-VAE-2,"['vq', 'vae', 'big', '史上最强非gan生成器', 'gan', 'deep', '提出', '多样性']"
182,引用量、影响因子，这些指标正在拖累学术研究,"['学术研究', '期刊', '论文', '研究者', '一作', '德哈特', 'index', 'journal']"
183,百倍提升张量计算：谷歌开源TensorNetwork,"['tensornetwork', '张量', '谷歌', '开源', '阶数', '向量', '矩阵', '表示法']"
184,你见过火系的暴鲤龙吗？这个项目利用CycleGAN生成不同属性的神奇宝贝,"['暴鲤龙', 'cycle', 'gan', '火系', 'rarr', 'pokemon', 'riley', '凤王']"
185,MNIST的新生：测试集新增5万个样本，Yann LeCun推荐测试,"['测试', 'mnist', 'lecun', 'yann', '万个', '新增', 'qmnist', 'nist']"
186,创新工场完成25亿募资，人工智能工程院升级2.0版,"['工程院', '募资', '人工智能', '大湾', 'ai', '赋能']"
187,自然场景下的文字检测：从多方向迈向任意形状,"['迈向', 'text', 'mask', 'textboxes', '旷视', 'icd', 'box', 'cnn']"
188,世界环境日：我们如何利用人工智能拯救地球？,"['人工智能', 'climate', 'environment', 'he', 'forest', 'work', 'their', 'planet']"
